view,context,shared_components,raw_checkboxes,raw_tables,raw_buttons,raw_visible_inputs,raw_selects,raw_textareas,pill_candidates,fixed_column_candidates
admin/workshop/index.blade.php,browser,49,0,0,0,0,0,0,0,0
admin/workshop/interests.blade.php,browser,10,0,0,0,0,0,0,0,0
admin/workshop/partials/matrix-filters.blade.php,browser,10,0,0,0,0,0,0,1,0
admin/workshop/partials/report-filters.blade.php,browser,8,0,0,0,0,0,0,0,0
admin/workshop/partials/report-multi-picker.blade.php,browser,3,0,0,0,0,0,0,1,0
admin/workshop/photos.blade.php,browser,42,0,1,0,0,0,0,6,0
admin/workshop/pick-list.blade.php,browser,34,0,0,0,0,0,0,0,0
admin/workshop/promotional-flyer.blade.php,browser,16,0,0,0,0,0,0,0,2
admin/workshop/tickets.blade.php,browser,53,0,0,0,0,0,0,0,0
admin/workshop-category/edit.blade.php,browser,10,0,0,0,0,0,0,1,0
admin/workshop-category/index.blade.php,browser,16,0,0,0,0,0,0,2,0
auth/login-2fa.blade.php,browser,24,0,0,0,0,0,0,0,0
auth/login-alt.blade.php,browser,8,0,0,0,0,0,0,0,0
auth/login-link.blade.php,browser,6,0,0,0,0,0,0,0,0
auth/login-password.blade.php,browser,16,0,0,0,0,0,0,0,0
auth/login.blade.php,browser,11,0,0,0,0,0,0,0,0
auth/logout.blade.php,browser,5,0,0,0,0,0,0,0,0
auth/privileged-mfa.blade.php,browser,7,0,0,0,0,0,0,0,0
auth/register-link.blade.php,browser,6,0,0,0,0,0,0,0,0
auth/register.blade.php,browser,12,0,0,0,0,0,0,0,0
cairns-minecraft.blade.php,browser,2,0,0,0,0,0,0,2,0
code-of-conduct.blade.php,browser,9,0,0,0,0,0,0,0,0
components/admin/configuration-check.blade.php,components,1,0,0,0,0,0,0,0,0
components/admin/finance-file-manager.blade.php,components,1,0,0,1,0,0,0,0,0
components/admin/invoice-email-modal.blade.php,components,4,0,0,4,3,0,1,0,0
components/admin/user-selector-inline.blade.php,components,21,0,0,4,1,0,0,0,0
components/altcha-proof.blade.php,components,0,0,0,0,0,0,0,0,0
components/best-seller-badge.blade.php,components,1,0,0,0,0,0,0,0,0
components/container.blade.php,components,0,0,0,0,0,0,0,0,0
components/dialog.blade.php,components,0,0,0,0,0,0,0,0,0
components/footer.blade.php,components,0,0,0,0,0,0,0,0,0
components/form-guard.blade.php,components,0,0,0,0,1,0,0,0,0
components/heading.blade.php,components,0,0,0,0,0,0,0,0,0
components/layout-kiosk.blade.php,components,0,0,0,0,0,0,0,0,0
components/layout.blade.php,components,5,0,0,0,0,0,0,0,0
components/mast.blade.php,components,2,0,0,0,0,0,0,0,0
components/navbar.blade.php,components,4,0,0,11,1,0,0,1,0
components/none-found.blade.php,components,0,0,0,0,0,0,0,0,0
components/noticebar.blade.php,components,0,0,0,0,0,0,0,0,0
components/on-holiday.blade.php,components,0,0,0,0,0,0,0,0,0
components/panel-post.blade.php,components,0,0,0,0,0,0,0,0,0
components/panel-workshop.blade.php,components,0,0,0,0,0,0,0,1,0
components/post.blade.php,components,0,0,0,0,0,0,0,0,0
components/product-category-badge.blade.php,components,1,0,0,0,0,0,0,0,0
components/push-prompt.blade.php,components,0,0,0,4,0,0,0,0,1
components/push-settings.blade.php,components,6,0,0,0,0,0,0,0,0
components/stemcraft/server-status-card.blade.php,components,0,0,0,0,0,0,0,1,0
components/stock-indicator.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/action-menu.blade.php,components,3,0,0,0,0,0,0,0,0
components/ui/badge.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/button.blade.php,components,0,0,0,1,0,0,0,0,0
components/ui/checkbox.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/collapsible-section.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/date-time.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/dynamic-list.blade.php,components,1,0,0,0,0,0,0,0,0
components/ui/editor.blade.php,components,0,0,0,75,1,0,0,0,0
components/ui/feedback.blade.php,components,1,0,0,0,0,0,0,0,0
components/ui/file-upload.blade.php,components,0,0,0,1,1,0,0,1,0
components/ui/file.blade.php,components,0,0,0,1,3,0,0,1,0
components/ui/filelist.blade.php,components,2,0,0,2,2,0,0,4,0
components/ui/filter-chip.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/gallery.blade.php,components,0,0,0,1,1,0,0,0,0
components/ui/grid.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/highlighter.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/image-hero.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/input-control.blade.php,components,0,0,0,0,1,0,0,0,0
components/ui/input.blade.php,components,1,0,0,0,6,0,3,0,0
components/ui/insert-here.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/list-dialog.blade.php,components,1,0,0,0,0,0,0,0,0
components/ui/list-pagination.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/loading-indicator.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/loading-progress.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/marker-strike.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/media-uploader.blade.php,components,3,0,0,0,1,0,0,0,0
components/ui/media.blade.php,components,0,0,0,2,1,0,0,0,0
components/ui/mini-editor.blade.php,components,0,0,0,9,0,0,0,0,0
components/ui/nonbreaking.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/page-upload.blade.php,components,2,0,0,0,0,0,0,0,0
components/ui/partials/checkbox-input.blade.php,components,0,1,0,0,0,0,0,0,0
components/ui/password.blade.php,components,1,0,0,0,1,0,0,0,0
components/ui/preset-views.blade.php,components,1,0,0,0,0,0,0,0,0
components/ui/row-action.blade.php,components,1,0,0,0,0,0,0,0,0
components/ui/row-actions.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/search.blade.php,components,2,0,0,0,1,0,0,0,0
components/ui/select-control.blade.php,components,0,0,0,0,0,1,0,0,0
components/ui/select.blade.php,components,1,0,0,1,0,1,0,0,0
components/ui/selection-toolbar.blade.php,components,1,0,0,0,0,0,0,0,0
components/ui/sort-heading.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/table.blade.php,components,0,0,1,0,0,0,0,0,0
components/ui/tags.blade.php,components,0,0,0,1,1,0,0,1,0
components/ui/textarea-control.blade.php,components,0,0,0,0,0,0,1,0,0
components/ui/toolbar.blade.php,components,0,0,0,0,0,0,0,0,0
components/ui/trend-chart.blade.php,components,0,0,0,0,0,0,0,1,0
components/ui/view-tabs.blade.php,components,0,0,0,0,0,0,0,0,0
contact.blade.php,browser,11,0,0,0,0,0,0,0,0
custom-page/show.blade.php,browser,4,0,0,0,0,0,0,0,0
emails/contact-message.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/email-update-confirm.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/email-update-request.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/finance-document.blade.php,emails,0,0,3,0,0,0,0,0,0
emails/invoice-document-bundle.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/invoice-payment-link.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/login-backup-code.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/login-tfa-disabled.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/login-tfa-enabled.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/login.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/partials/newsletter-forward-promotion.blade.php,emails,0,0,1,0,0,0,0,0,0
emails/partials/newsletter-product-card.blade.php,emails,0,0,5,0,0,0,0,0,0
emails/partials/newsletter-store-section.blade.php,emails,0,0,1,0,0,0,0,0,0
emails/partials/newsletter-workshop-section.blade.php,emails,0,0,1,0,0,0,0,0,0
emails/partials/store-order-shipment-plan.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/partials/upcoming-workshop-card.blade.php,emails,0,0,8,0,0,0,0,0,0
emails/partials/upcoming-workshop-item.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/partials/upcoming-workshop-location-group.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/payment-receipt.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/pending-bank-transfer-payments-digest.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/quote-customer-response-admin-notification.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/register.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/reminder-notification.blade.php,emails,0,0,1,0,0,0,0,0,0
emails/scheduled-invoice-failure.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/scheduled-invoice-review.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/site-error-alert.blade.php,emails,1,0,0,0,0,0,0,0,0
emails/store-low-stock-admin-alert.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/store-order-admin-notification.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/store-order-admin-update-digest.blade.php,emails,0,0,0,0,0,0,0,0,0
emails/store-order-admin-update-notice.blade.php,emails,0,0,0,0,0,0,0,0,0
